utt_id,orig_utt_id,spk_id,path,condition,gender,is_known,num_selected_utts,num_total_valid_utts
BAC009S0251W0458_noise10,BAC009S0251W0458,S0251,augmented/noise_snr10/S0251/BAC009S0251W0458_noise10.wav,noise_snr10,0,1,24,322
BAC009S0251W0458_ch8k,BAC009S0251W0458,S0251,augmented/channel_8k/S0251/BAC009S0251W0458_ch8k.wav,channel_8k,0,1,24,322
BAC009S0251W0349_noise10,BAC009S0251W0349,S0251,augmented/noise_snr10/S0251/BAC009S0251W0349_noise10.wav,noise_snr10,0,1,24,322
BAC009S0251W0349_ch8k,BAC009S0251W0349,S0251,augmented/channel_8k/S0251/BAC009S0251W0349_ch8k.wav,channel_8k,0,1,24,322
BAC009S0251W0248_noise10,BAC009S0251W0248,S0251,augmented/noise_snr10/S0251/BAC009S0251W0248_noise10.wav,noise_snr10,0,1,24,322
BAC009S0251W0248_ch8k,BAC009S0251W0248,S0251,augmented/channel_8k/S0251/BAC009S0251W0248_ch8k.wav,channel_8k,0,1,24,322
BAC009S0251W0448_noise10,BAC009S0251W0448,S0251,augmented/noise_snr10/S0251/BAC009S0251W0448_noise10.wav,noise_snr10,0,1,24,322
BAC009S0251W0448_ch8k,BAC009S0251W0448,S0251,augmented/channel_8k/S0251/BAC009S0251W0448_ch8k.wav,channel_8k,0,1,24,322
BAC009S0251W0491_noise10,BAC009S0251W0491,S0251,augmented/noise_snr10/S0251/BAC009S0251W0491_noise10.wav,noise_snr10,0,1,24,322
BAC009S0251W0491_ch8k,BAC009S0251W0491,S0251,augmented/channel_8k/S0251/BAC009S0251W0491_ch8k.wav,channel_8k,0,1,24,322
BAC009S0251W0312_noise10,BAC009S0251W0312,S0251,augmented/noise_snr10/S0251/BAC009S0251W0312_noise10.wav,noise_snr10,0,1,24,322
BAC009S0251W0312_ch8k,BAC009S0251W0312,S0251,augmented/channel_8k/S0251/BAC009S0251W0312_ch8k.wav,channel_8k,0,1,24,322
BAC009S0251W0151_noise10,BAC009S0251W0151,S0251,augmented/noise_snr10/S0251/BAC009S0251W0151_noise10.wav,noise_snr10,0,1,24,322
BAC009S0251W0151_ch8k,BAC009S0251W0151,S0251,augmented/channel_8k/S0251/BAC009S0251W0151_ch8k.wav,channel_8k,0,1,24,322
BAC009S0251W0463_noise10,BAC009S0251W0463,S0251,augmented/noise_snr10/S0251/BAC009S0251W0463_noise10.wav,noise_snr10,0,1,24,322
BAC009S0251W0463_ch8k,BAC009S0251W0463,S0251,augmented/channel_8k/S0251/BAC009S0251W0463_ch8k.wav,channel_8k,0,1,24,322
BAC009S0251W0264_noise10,BAC009S0251W0264,S0251,augmented/noise_snr10/S0251/BAC009S0251W0264_noise10.wav,noise_snr10,0,1,24,322
BAC009S0251W0264_ch8k,BAC009S0251W0264,S0251,augmented/channel_8k/S0251/BAC009S0251W0264_ch8k.wav,channel_8k,0,1,24,322
BAC009S0251W0433_noise10,BAC009S0251W0433,S0251,augmented/noise_snr10/S0251/BAC009S0251W0433_noise10.wav,noise_snr10,0,1,24,322
BAC009S0251W0433_ch8k,BAC009S0251W0433,S0251,augmented/channel_8k/S0251/BAC009S0251W0433_ch8k.wav,channel_8k,0,1,24,322
BAC009S0251W0184_noise10,BAC009S0251W0184,S0251,augmented/noise_snr10/S0251/BAC009S0251W0184_noise10.wav,noise_snr10,0,1,24,322
BAC009S0251W0184_ch8k,BAC009S0251W0184,S0251,augmented/channel_8k/S0251/BAC009S0251W0184_ch8k.wav,channel_8k,0,1,24,322
BAC009S0251W0411_noise10,BAC009S0251W0411,S0251,augmented/noise_snr10/S0251/BAC009S0251W0411_noise10.wav,noise_snr10,0,1,24,322
BAC009S0251W0411_ch8k,BAC009S0251W0411,S0251,augmented/channel_8k/S0251/BAC009S0251W0411_ch8k.wav,channel_8k,0,1,24,322
