orig_utt_id,aug_utt_id,spk_id,gender,condition,cos_clean_aug,embedding_drift
BAC009S0251W0458,BAC009S0251W0458_noise10,S0251,0,noise_snr10,0.7336268424987793,0.2663731575012207
BAC009S0251W0458,BAC009S0251W0458_ch8k,S0251,0,channel_8k,0.6603153944015503,0.3396846055984497
BAC009S0251W0349,BAC009S0251W0349_noise10,S0251,0,noise_snr10,0.6972783803939819,0.30272161960601807
BAC009S0251W0349,BAC009S0251W0349_ch8k,S0251,0,channel_8k,0.5292744040489197,0.4707255959510803
BAC009S0251W0248,BAC009S0251W0248_noise10,S0251,0,noise_snr10,0.7869362831115723,0.21306371688842773
BAC009S0251W0248,BAC009S0251W0248_ch8k,S0251,0,channel_8k,0.5727214813232422,0.4272785186767578
BAC009S0251W0448,BAC009S0251W0448_noise10,S0251,0,noise_snr10,0.778683066368103,0.22131693363189697
BAC009S0251W0448,BAC009S0251W0448_ch8k,S0251,0,channel_8k,0.5864608287811279,0.41353917121887207
BAC009S0251W0491,BAC009S0251W0491_noise10,S0251,0,noise_snr10,0.7693386673927307,0.2306613326072693
BAC009S0251W0491,BAC009S0251W0491_ch8k,S0251,0,channel_8k,0.555169403553009,0.44483059644699097
BAC009S0251W0312,BAC009S0251W0312_noise10,S0251,0,noise_snr10,0.7588874697685242,0.24111253023147583
BAC009S0251W0312,BAC009S0251W0312_ch8k,S0251,0,channel_8k,0.5544823408126831,0.4455176591873169
BAC009S0251W0151,BAC009S0251W0151_noise10,S0251,0,noise_snr10,0.6838371753692627,0.3161628246307373
BAC009S0251W0151,BAC009S0251W0151_ch8k,S0251,0,channel_8k,0.46186378598213196,0.538136214017868
BAC009S0251W0463,BAC009S0251W0463_noise10,S0251,0,noise_snr10,0.7043564319610596,0.29564356803894043
BAC009S0251W0463,BAC009S0251W0463_ch8k,S0251,0,channel_8k,0.5477720499038696,0.45222795009613037
BAC009S0251W0264,BAC009S0251W0264_noise10,S0251,0,noise_snr10,0.7588533759117126,0.24114662408828735
