utt_id,true_spk,pred_spk,best_score,correct
BAC009S0251W0448,S0251,S0251,0.8515695333480835,True
BAC009S0251W0491,S0251,S0251,0.8080959320068359,True
BAC009S0251W0312,S0251,S0251,0.7766777276992798,True
BAC009S0251W0151,S0251,S0251,0.7843143939971924,True
BAC009S0096W0165,S0096,S0096,0.804430365562439,True
BAC009S0096W0490,S0096,S0096,0.8837706446647644,True
BAC009S0096W0195,S0096,S0096,0.8193033933639526,True
BAC009S0096W0280,S0096,S0096,0.9016176462173462,True
BAC009S0160W0485,S0160,S0160,0.6962209939956665,True
BAC009S0160W0194,S0160,S0160,0.8370776176452637,True
BAC009S0160W0451,S0160,S0160,0.7207979559898376,True
BAC009S0160W0325,S0160,S0160,0.7337344288825989,True
BAC009S0166W0209,S0166,S0166,0.637152910232544,True
BAC009S0166W0230,S0166,S0166,0.7477086782455444,True
BAC009S0166W0336,S0166,S0166,0.7117301821708679,True
BAC009S0166W0315,S0166,S0166,0.6095684766769409,True
BAC009S0248W0352,S0248,S0248,0.6889609098434448,True
BAC009S0248W0126,S0248,S0248,0.7527958750724792,True
BAC009S0248W0291,S0248,S0248,0.6707249283790588,True
BAC009S0248W0414,S0248,S0248,0.615655243396759,True
BAC009S0230W0265,S0230,S0230,0.7491751909255981,True
BAC009S0230W0474,S0230,S0230,0.6225149631500244,True
BAC009S0230W0135,S0230,S0230,0.8136682510375977,True
BAC009S0230W0354,S0230,S0230,0.797919511795044,True
BAC009S0192W0132,S0192,S0192,0.7594193816184998,True
BAC009S0192W0399,S0192,S0192,0.7153157591819763,True
BAC009S0192W0398,S0192,S0192,0.7621221542358398,True
BAC009S0192W0240,S0192,S0192,0.7059099674224854,True
BAC009S0124W0483,S0124,S0124,0.7735434770584106,True
BAC009S0124W0306,S0124,S0124,0.6484730839729309,True
BAC009S0124W0400,S0124,S0124,0.7427190542221069,True
BAC009S0124W0165,S0124,S0124,0.7724254727363586,True
BAC009S0340W0385,S0340,S0340,0.7046257257461548,True
BAC009S0340W0179,S0340,S0340,0.669624924659729,True
BAC009S0340W0134,S0340,S0340,0.591204047203064,True
BAC009S0340W0384,S0340,S0340,0.7690120935440063,True
BAC009S0517W0135,S0517,S0517,0.7412254810333252,True
BAC009S0517W0365,S0517,S0517,0.6975032091140747,True
BAC009S0517W0447,S0517,S0517,0.6797266006469727,True
BAC009S0517W0188,S0517,S0517,0.7282105088233948,True
BAC009S0194W0302,S0194,S0194,0.8275384902954102,True
BAC009S0194W0416,S0194,S0194,0.7534208297729492,True
BAC009S0194W0133,S0194,S0194,0.7295092344284058,True
BAC009S0194W0370,S0194,S0194,0.7033562660217285,True
BAC009S0655W0471,S0655,S0655,0.8570048809051514,True
BAC009S0655W0495,S0655,S0655,0.785686731338501,True
BAC009S0655W0254,S0655,S0655,0.8522114157676697,True
BAC009S0655W0238,S0655,S0655,0.8341847658157349,True
BAC009S0040W0329,S0040,S0040,0.7999826669692993,True
BAC009S0040W0300,S0040,S0040,0.7988096475601196,True
BAC009S0040W0483,S0040,S0040,0.7140893936157227,True
BAC009S0040W0244,S0040,S0040,0.7630747556686401,True
BAC009S0722W0415,S0722,S0722,0.680629551410675,True
BAC009S0722W0274,S0722,S0722,0.8172123432159424,True
BAC009S0722W0232,S0722,S0722,0.8460197448730469,True
BAC009S0722W0167,S0722,S0722,0.785518229007721,True
BAC009S0731W0383,S0731,S0731,0.8070932626724243,True
BAC009S0731W0478,S0731,S0731,0.6852588057518005,True
BAC009S0731W0163,S0731,S0731,0.7502588033676147,True
BAC009S0731W0434,S0731,S0731,0.812456488609314,True
BAC009S0748W0421,S0748,S0748,0.595838189125061,True
BAC009S0748W0164,S0748,S0748,0.6989250779151917,True
BAC009S0748W0266,S0748,S0748,0.7052776217460632,True
BAC009S0748W0327,S0748,S0748,0.7464109063148499,True
