utt_id,true_spk,is_known,best_spk,best_score,pred_open
BAC009S0251W0448,S0251,1,S0251,0.8515632152557373,S0251
BAC009S0251W0491,S0251,1,S0251,0.808038055896759,S0251
BAC009S0251W0312,S0251,1,S0251,0.776755154132843,S0251
BAC009S0251W0151,S0251,1,S0251,0.7844592332839966,S0251
BAC009S0096W0165,S0096,1,S0096,0.8044556379318237,S0096
BAC009S0096W0490,S0096,1,S0096,0.8837696313858032,S0096
BAC009S0096W0195,S0096,1,S0096,0.8193449974060059,S0096
BAC009S0096W0280,S0096,1,S0096,0.901636004447937,S0096
BAC009S0160W0485,S0160,1,S0160,0.6961517333984375,S0160
BAC009S0160W0194,S0160,1,S0160,0.8370930552482605,S0160
BAC009S0160W0451,S0160,1,S0160,0.7208361625671387,S0160
BAC009S0160W0325,S0160,1,S0160,0.7337841987609863,S0160
BAC009S0166W0209,S0166,1,S0166,0.6372256875038147,S0166
BAC009S0166W0230,S0166,1,S0166,0.747656524181366,S0166
BAC009S0166W0336,S0166,1,S0166,0.7117430567741394,S0166
BAC009S0166W0315,S0166,1,S0166,0.6093145608901978,S0166
BAC009S0248W0352,S0248,1,S0248,0.688947856426239,S0248
BAC009S0248W0126,S0248,1,S0248,0.7528171539306641,S0248
BAC009S0248W0291,S0248,1,S0248,0.670660138130188,S0248
BAC009S0248W0414,S0248,1,S0248,0.6155648827552795,S0248
BAC009S0230W0265,S0230,1,S0230,0.7491374015808105,S0230
BAC009S0230W0474,S0230,1,S0230,0.6225378513336182,S0230
BAC009S0230W0135,S0230,1,S0230,0.8136594295501709,S0230
BAC009S0230W0354,S0230,1,S0230,0.7978916764259338,S0230
BAC009S0192W0132,S0192,1,S0192,0.759353756904602,S0192
BAC009S0192W0399,S0192,1,S0192,0.7152766585350037,S0192
BAC009S0192W0398,S0192,1,S0192,0.7620924711227417,S0192
BAC009S0192W0240,S0192,1,S0192,0.7058371305465698,S0192
BAC009S0124W0483,S0124,1,S0124,0.7735694050788879,S0124
BAC009S0124W0306,S0124,1,S0124,0.6484254598617554,S0124
BAC009S0124W0400,S0124,1,S0124,0.7427266836166382,S0124
BAC009S0124W0165,S0124,1,S0124,0.7723811864852905,S0124
BAC009S0340W0385,S0340,1,S0340,0.7047062516212463,S0340
BAC009S0340W0179,S0340,1,S0340,0.66978919506073,S0340
BAC009S0340W0134,S0340,1,S0340,0.5913824439048767,S0340
BAC009S0340W0384,S0340,1,S0340,0.7691452503204346,S0340
BAC009S0517W0135,S0517,1,S0517,0.7412214279174805,S0517
BAC009S0517W0365,S0517,1,S0517,0.6974884271621704,S0517
BAC009S0517W0447,S0517,1,S0517,0.6797899603843689,S0517
BAC009S0517W0188,S0517,1,S0517,0.7281652688980103,S0517
BAC009S0194W0302,S0194,1,S0194,0.8275806903839111,S0194
BAC009S0194W0416,S0194,1,S0194,0.7534482479095459,S0194
BAC009S0194W0133,S0194,1,S0194,0.7294880747795105,S0194
BAC009S0194W0370,S0194,1,S0194,0.7034663558006287,S0194
BAC009S0655W0471,S0655,1,S0655,0.8570268154144287,S0655
BAC009S0655W0495,S0655,1,S0655,0.7856676578521729,S0655
BAC009S0655W0254,S0655,1,S0655,0.8522070646286011,S0655
BAC009S0655W0238,S0655,1,S0655,0.8341771364212036,S0655
BAC009S0040W0329,S0040,1,S0040,0.7999488711357117,S0040
BAC009S0040W0300,S0040,1,S0040,0.7988163232803345,S0040
BAC009S0040W0483,S0040,1,S0040,0.7141187787055969,S0040
BAC009S0040W0244,S0040,1,S0040,0.7630558013916016,S0040
BAC009S0722W0415,S0722,1,S0722,0.6807193756103516,S0722
BAC009S0722W0274,S0722,1,S0722,0.8172532916069031,S0722
BAC009S0722W0232,S0722,1,S0722,0.8459945917129517,S0722
BAC009S0722W0167,S0722,1,S0722,0.7854121923446655,S0722
BAC009S0731W0383,S0731,1,S0731,0.8070074915885925,S0731
BAC009S0731W0478,S0731,1,S0731,0.6852157115936279,S0731
BAC009S0731W0163,S0731,1,S0731,0.7503050565719604,S0731
BAC009S0731W0434,S0731,1,S0731,0.8124433159828186,S0731
BAC009S0748W0421,S0748,1,S0748,0.595856785774231,S0748
BAC009S0748W0164,S0748,1,S0748,0.6989824771881104,S0748
BAC009S0748W0266,S0748,1,S0748,0.7054666876792908,S0748
BAC009S0748W0327,S0748,1,S0748,0.7464537024497986,S0748
BAC009S0114W0439,S0114,0,S0096,0.30968430638313293,unknown
BAC009S0114W0379,S0114,0,S0096,0.4129323959350586,unknown
BAC009S0114W0142,S0114,0,S0096,0.3901042640209198,unknown
BAC009S0114W0388,S0114,0,S0096,0.4234892427921295,unknown
BAC009S0105W0228,S0105,0,S0096,0.32232800126075745,unknown
BAC009S0105W0482,S0105,0,S0096,0.35840892791748047,unknown
BAC009S0105W0420,S0105,0,S0251,0.40149611234664917,unknown
BAC009S0105W0169,S0105,0,S0251,0.38919907808303833,unknown
BAC009S0758W0273,S0758,0,S0192,0.5746464133262634,S0192
BAC009S0758W0240,S0758,0,S0192,0.4133554697036743,unknown
BAC009S0758W0281,S0758,0,S0748,0.43743956089019775,S0748
BAC009S0758W0357,S0758,0,S0748,0.3668099641799927,unknown
BAC009S0049W0425,S0049,0,S0722,0.39259928464889526,unknown
BAC009S0049W0439,S0049,0,S0722,0.44796741008758545,S0722
BAC009S0049W0130,S0049,0,S0722,0.5004855394363403,S0722
BAC009S0049W0489,S0049,0,S0722,0.45346954464912415,S0722
