,BAC009S0251W0448,BAC009S0251W0491,BAC009S0251W0312,BAC009S0251W0151,BAC009S0096W0165,BAC009S0096W0490,BAC009S0096W0195,BAC009S0096W0280,BAC009S0160W0485,BAC009S0160W0194,BAC009S0160W0451,BAC009S0160W0325,BAC009S0166W0209,BAC009S0166W0230,BAC009S0166W0336,BAC009S0166W0315,BAC009S0248W0352,BAC009S0248W0126,BAC009S0248W0291,BAC009S0248W0414,BAC009S0230W0265,BAC009S0230W0474,BAC009S0230W0135,BAC009S0230W0354,BAC009S0192W0132,BAC009S0192W0399,BAC009S0192W0398,BAC009S0192W0240,BAC009S0124W0483,BAC009S0124W0306,BAC009S0124W0400,BAC009S0124W0165,BAC009S0340W0385,BAC009S0340W0179,BAC009S0340W0134,BAC009S0340W0384,BAC009S0517W0135,BAC009S0517W0365,BAC009S0517W0447,BAC009S0517W0188,BAC009S0194W0302,BAC009S0194W0416,BAC009S0194W0133,BAC009S0194W0370,BAC009S0655W0471,BAC009S0655W0495,BAC009S0655W0254,BAC009S0655W0238,BAC009S0040W0329,BAC009S0040W0300,BAC009S0040W0483,BAC009S0040W0244,BAC009S0722W0415,BAC009S0722W0274,BAC009S0722W0232,BAC009S0722W0167,BAC009S0731W0383,BAC009S0731W0478,BAC009S0731W0163,BAC009S0731W0434,BAC009S0748W0421,BAC009S0748W0164,BAC009S0748W0266,BAC009S0748W0327
S0040,0.37015656,0.33925247,0.30623794,0.28259528,0.12381516,0.14806175,0.17172606,0.19212943,0.06822832,0.086891636,0.091067374,0.19000645,0.23188952,0.26321927,0.1806133,0.25670803,0.2285439,0.3140748,0.2258653,0.3234875,0.1596881,0.1092466,0.105400175,0.14122182,0.067762144,0.049387243,0.18244117,0.20848596,0.16523966,0.052529227,0.07979747,0.09711196,0.0884269,0.025260426,0.107354745,0.15277463,0.10499245,0.015241183,0.11248996,0.2676623,0.11431341,0.16401748,0.11417341,0.12655698,0.19512776,0.15754864,0.1908642,0.22216675,0.79998267,0.79880965,0.7140894,0.76307476,0.283345,0.45759773,0.47707632,0.48722622,0.32838914,0.28096884,0.31815165,0.30040506,0.12995869,0.19850314,0.19086444,0.09462893
S0096,0.058517016,-0.046374355,0.09107914,0.030271377,0.80443037,0.88377064,0.8193034,0.90161765,0.026734151,0.04103811,0.046202727,0.094223835,0.07269895,0.054554082,0.084413216,0.0982759,0.07478425,0.20468579,0.17603204,0.24685846,0.24186854,0.035258353,0.112698376,0.100791536,0.12078812,0.14365248,0.0738355,0.12046645,0.1001094,0.13822189,0.23816483,0.13116705,0.11059571,0.045659512,0.14511108,0.14059487,0.116274774,0.11193525,0.19753055,0.1527473,-0.016175803,0.044315822,0.05157468,0.13738377,0.24389227,0.18518572,0.24542676,0.25317562,0.13728449,0.20137407,0.2873531,0.13682058,0.17123128,0.22626331,0.2559945,0.09491743,0.058973715,0.10193285,0.057054557,-0.021059087,0.09055023,0.14799887,0.12984474,0.15761533
S0124,0.2236213,0.15784696,0.19658703,0.17219032,0.18918076,0.1126899,0.20317417,0.1807156,0.18129316,0.12881051,0.18796676,0.19665602,0.06282653,0.35893768,0.23171102,0.2623877,0.23566285,0.18547803,0.04916121,0.17288122,0.21325438,0.12178514,0.18898968,0.16299093,0.27451736,0.33867395,0.41092905,0.3815047,0.7735435,0.6484731,0.74271905,0.7724255,0.1362684,0.08360647,0.1246819,0.030534718,0.21927555,0.13764188,0.1754838,0.22200112,0.34961876,0.3459354,0.2848515,0.31753054,0.33765465,0.34537947,0.28034568,0.32388932,0.16231698,0.21965584,0.1276524,0.20820975,0.17394279,0.1897622,0.23812893,0.19114266,0.11529609,0.11012132,0.099844456,0.097212106,0.30047798,0.42729145,0.2928715,0.2952709
S0160,0.1042946,0.03432625,0.1655924,0.048907157,0.06944628,0.10536579,0.054357138,0.09197327,0.696221,0.8370776,0.72079796,0.7337344,0.14661294,0.12807599,0.1638276,0.26887932,0.035499763,0.04526484,0.019703139,0.12114161,0.25680065,0.33288687,0.2210812,0.24866882,0.3019848,0.29934078,0.3495913,0.34180278,0.17013904,0.07820199,0.29864883,0.1741814,0.20033517,0.19378333,0.18645844,0.2508593,0.18521327,0.05915288,0.24216238,0.1726206,0.32837984,0.2794522,0.32476166,0.27339602,0.3456529,0.19126552,0.26897195,0.29941222,0.10220924,0.105930135,0.08848405,0.08425385,0.025446065,0.066250175,0.051608026,0.1351931,0.1452637,0.08511834,0.113998234,0.10574938,0.1015002,0.20823225,0.2131075,0.18803181
S0166,0.16240199,0.18023714,0.15810974,0.16899337,0.110707924,0.08905629,0.17781167,0.17897116,0.27838087,0.17618811,0.2629607,0.3470465,0.6371529,0.7477087,0.7117302,0.6095685,0.15091972,0.078724146,0.017586041,0.1946266,0.19627157,0.15800291,0.16001634,0.17557001,0.25167808,0.25237358,0.31861573,0.25122485,0.27921265,0.32595143,0.33675963,0.2885161,0.28557956,0.20948437,0.27472043,0.2891356,0.1821714,0.094482996,0.08188369,0.28473827,0.430461,0.41402936,0.39236543,0.27307466,0.30329436,0.27209118,0.2591796,0.21546352,0.20501389,0.2299453,0.17926042,0.24273701,0.20134811,0.2362488,0.21434873,0.31997216,0.1911091,0.17479841,0.1592969,0.23784828,0.16402224,0.08912267,0.12886912,0.0740204
S0192,0.17896058,0.10050212,0.15296184,0.14007412,0.12189711,0.105502084,0.05800072,0.13084799,0.19799036,0.21352,0.29631308,0.26637357,0.24461365,0.29613152,0.2789824,0.27472672,0.09395538,0.16364408,0.09479409,0.2039992,0.26124611,0.24796887,0.32618266,0.33276522,0.7594194,0.71531576,0.76212215,0.70590997,0.34964365,0.27783173,0.34845304,0.37952822,0.08820271,0.1524707,0.08760002,0.050463513,0.33670437,0.2243734,0.24269563,0.36145943,0.46030858,0.4661584,0.37534288,0.4290313,0.41303527,0.35688686,0.41530365,0.35880053,0.1632154,0.12045719,0.07867189,0.19029808,0.17051448,0.13065536,0.17283334,0.15565182,0.06736651,0.136462,0.0527015,0.09868661,0.26232806,0.22969905,0.1945684,0.28857785
S0194,0.1224355,0.12360261,0.08946715,0.09199304,0.09656873,0.027497945,0.09848759,0.08145461,0.26289707,0.32599416,0.28481546,0.45711523,0.26056522,0.32592437,0.25342178,0.38142657,0.11292675,0.09048205,0.03173599,0.12472835,0.14754911,0.1536227,0.11732523,0.18682787,0.45929807,0.41454,0.5483012,0.51376337,0.2664888,0.30197233,0.38447917,0.35850644,0.2743817,0.2509298,0.22268872,0.2231906,0.20204955,0.10116019,0.18029818,0.2817526,0.8275385,0.7534208,0.72950923,0.70335627,0.35548592,0.23492546,0.2655265,0.2673925,0.20416737,0.17922382,0.12934624,0.19478346,0.17701161,0.14893334,0.18225041,0.21512422,0.07874428,0.15412432,0.056281883,0.122051805,0.12031403,0.08114668,0.11051105,0.019567098
S0230,0.08967086,0.103298865,0.09623571,0.09104678,0.15548383,0.14954309,0.13863446,0.13819996,0.19609778,0.1652751,0.12758574,0.22173032,0.2472217,0.26332295,0.29642367,0.12598878,0.11431185,0.21098265,0.03887292,0.11918147,0.7491752,0.62251496,0.81366825,0.7979195,0.2796237,0.39294973,0.34556127,0.25911403,0.18362,0.18613097,0.26478332,0.1869398,-0.014649127,0.0018936386,0.034849346,-0.0522243,0.14747593,0.18121749,0.06354635,0.21759693,0.0628472,-0.011885937,0.123603754,-0.004152082,0.3053991,0.26983464,0.37675783,0.36019188,0.11309025,0.17111184,0.16291448,0.15102604,0.0810403,0.091672465,0.10579291,0.10204147,0.09644741,0.13616538,0.03441955,0.07570404,0.39828876,0.37432075,0.35880303,0.49399412
S0248,0.30084223,0.2804677,0.23776272,0.25225887,0.28963292,0.28180093,0.25690234,0.2215168,0.015952349,0.07444246,0.07743309,0.07649523,0.19981208,0.19076754,0.093888775,0.13911825,0.6889609,0.7527959,0.6707249,0.61565524,0.12138778,0.13763025,0.0764839,0.13466403,0.11994071,0.15822831,0.118430085,0.15116157,0.14333524,0.14362898,0.24157578,0.13985771,0.09919013,-0.0027757944,0.07308987,0.061802015,0.16331942,0.09361581,0.17242673,0.24316253,0.1939588,0.15624237,0.16790175,0.099507794,0.33192563,0.27709645,0.27228275,0.31476027,0.2924725,0.3228015,0.17309976,0.27606344,0.22958452,0.30523726,0.32528305,0.30689156,0.23709883,0.2482366,0.31901142,0.22494367,0.18197194,0.1890844,0.25556874,0.19452482
S0251,0.85156953,0.80809593,0.7766777,0.7843144,0.006389156,-0.09233089,0.100720584,0.060559835,0.1643757,0.051745143,0.100733005,0.08299003,0.20020886,0.19786184,0.17476325,0.09150055,0.32258552,0.22930868,0.2636258,0.24741386,0.0069544427,0.086998805,0.0637723,0.07985428,0.10408515,0.052521497,0.1397272,0.14818436,0.21230216,0.09260911,0.2083887,0.17611562,0.079852246,0.03415639,0.13791291,0.063963905,0.0854848,-0.040397413,0.08240959,0.1543498,0.15114243,0.116232485,0.11383942,0.07390365,0.0974669,0.13027239,0.095532484,0.06737362,0.38913262,0.5110817,0.34488082,0.36953676,0.18527281,0.34651482,0.33150804,0.30227575,0.21310312,0.11707531,0.2050612,0.25399548,0.12592582,0.10867027,0.12733896,0.17680398
